src,relation,dst,extra_json
function:spank_chain_payment.createChannel,containsStmt,stmt:spank_chain_payment.createChannel.8,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.createChannel.7,hasNext,stmt:spank_chain_payment.createChannel.8,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.createChannel.8,containsAssignment,assign:spank_chain_payment.createChannel.8.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.createChannel,containsStmt,stmt:spank_chain_payment.createChannel.9,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.createChannel.8,hasNext,stmt:spank_chain_payment.createChannel.9,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.createChannel.9,containsAssignment,assign:spank_chain_payment.createChannel.9.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.createChannel,containsStmt,stmt:spank_chain_payment.createChannel.10,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.createChannel.9,hasNext,stmt:spank_chain_payment.createChannel.10,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.createChannel.10,containsAssignment,assign:spank_chain_payment.createChannel.10.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.createChannel,containsStmt,stmt:spank_chain_payment.createChannel.11,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.createChannel.10,hasNext,stmt:spank_chain_payment.createChannel.11,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.createChannel.11,containsAssignment,assign:spank_chain_payment.createChannel.11.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.createChannel,containsStmt,stmt:spank_chain_payment.createChannel.12,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.createChannel.11,hasNext,stmt:spank_chain_payment.createChannel.12,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.createChannel.12,containsCall,call:spank_chain_payment.createChannel.12.1,"{""_layers"": [""stage1_ast""]}"
contract:spank_chain_payment,hasFunction,function:spank_chain_payment.LCOpenTimeout,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.LCOpenTimeout,hasModifier,modifier:spank_chain_payment.LCOpenTimeout.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.LCOpenTimeout,containsStmt,stmt:spank_chain_payment.LCOpenTimeout.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.LCOpenTimeout,entryPointIs,stmt:spank_chain_payment.LCOpenTimeout.1,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.LCOpenTimeout.1,containsRequire,require:spank_chain_payment.LCOpenTimeout.1.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.LCOpenTimeout,containsStmt,stmt:spank_chain_payment.LCOpenTimeout.2,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.LCOpenTimeout.1,hasNext,stmt:spank_chain_payment.LCOpenTimeout.2,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.LCOpenTimeout.2,containsRequire,require:spank_chain_payment.LCOpenTimeout.2.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.LCOpenTimeout,containsStmt,stmt:spank_chain_payment.LCOpenTimeout.3,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.LCOpenTimeout.2,hasNext,stmt:spank_chain_payment.LCOpenTimeout.3,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.LCOpenTimeout.3,containsCall,call:spank_chain_payment.LCOpenTimeout.3.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.LCOpenTimeout,containsStmt,stmt:spank_chain_payment.LCOpenTimeout.4,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.LCOpenTimeout.3,hasNext,stmt:spank_chain_payment.LCOpenTimeout.4,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.LCOpenTimeout.4,containsRequire,require:spank_chain_payment.LCOpenTimeout.4.1,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.LCOpenTimeout.4,containsCall,call:spank_chain_payment.LCOpenTimeout.4.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.LCOpenTimeout,containsStmt,stmt:spank_chain_payment.LCOpenTimeout.5,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.LCOpenTimeout.4,hasNext,stmt:spank_chain_payment.LCOpenTimeout.5,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.LCOpenTimeout.5,containsCall,call:spank_chain_payment.LCOpenTimeout.5.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.LCOpenTimeout,containsStmt,stmt:spank_chain_payment.LCOpenTimeout.6,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.LCOpenTimeout.5,hasNext,stmt:spank_chain_payment.LCOpenTimeout.6,"{""_layers"": [""stage1_ast""]}"
contract:spank_chain_payment,hasFunction,function:spank_chain_payment.joinChannel,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.joinChannel,hasModifier,modifier:spank_chain_payment.joinChannel.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.joinChannel,containsStmt,stmt:spank_chain_payment.joinChannel.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.joinChannel,entryPointIs,stmt:spank_chain_payment.joinChannel.1,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.joinChannel.1,containsRequire,require:spank_chain_payment.joinChannel.1.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.joinChannel,containsStmt,stmt:spank_chain_payment.joinChannel.2,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.joinChannel.1,hasNext,stmt:spank_chain_payment.joinChannel.2,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.joinChannel.2,containsRequire,require:spank_chain_payment.joinChannel.2.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.joinChannel,containsStmt,stmt:spank_chain_payment.joinChannel.3,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.joinChannel.2,hasNext,stmt:spank_chain_payment.joinChannel.3,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.joinChannel.3,containsAssignment,assign:spank_chain_payment.joinChannel.3.1,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.joinChannel.3,containsRequire,require:spank_chain_payment.joinChannel.3.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.joinChannel,containsStmt,stmt:spank_chain_payment.joinChannel.4,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.joinChannel.3,hasNext,stmt:spank_chain_payment.joinChannel.4,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.joinChannel.4,containsAssignment,assign:spank_chain_payment.joinChannel.4.1,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.joinChannel.4,containsRequire,require:spank_chain_payment.joinChannel.4.1,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.joinChannel.4,containsCall,call:spank_chain_payment.joinChannel.4.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.joinChannel,containsStmt,stmt:spank_chain_payment.joinChannel.5,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.joinChannel.4,hasNext,stmt:spank_chain_payment.joinChannel.5,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.joinChannel.5,containsAssignment,assign:spank_chain_payment.joinChannel.5.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.joinChannel,containsStmt,stmt:spank_chain_payment.joinChannel.6,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.joinChannel.5,hasNext,stmt:spank_chain_payment.joinChannel.6,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.joinChannel.6,containsAssignment,assign:spank_chain_payment.joinChannel.6.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.joinChannel,containsStmt,stmt:spank_chain_payment.joinChannel.7,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.joinChannel.6,hasNext,stmt:spank_chain_payment.joinChannel.7,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.joinChannel.7,containsAssignment,assign:spank_chain_payment.joinChannel.7.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.joinChannel,containsStmt,stmt:spank_chain_payment.joinChannel.8,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.joinChannel.7,hasNext,stmt:spank_chain_payment.joinChannel.8,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.joinChannel,containsStmt,stmt:spank_chain_payment.joinChannel.9,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.joinChannel.8,hasNext,stmt:spank_chain_payment.joinChannel.9,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.joinChannel.9,containsCall,call:spank_chain_payment.joinChannel.9.1,"{""_layers"": [""stage1_ast""]}"
contract:spank_chain_payment,hasFunction,function:spank_chain_payment.deposit,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.deposit,hasModifier,modifier:spank_chain_payment.deposit.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.deposit,containsStmt,stmt:spank_chain_payment.deposit.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.deposit,entryPointIs,stmt:spank_chain_payment.deposit.1,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.deposit.1,containsRequire,require:spank_chain_payment.deposit.1.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.deposit,containsStmt,stmt:spank_chain_payment.deposit.2,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.deposit.1,hasNext,stmt:spank_chain_payment.deposit.2,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.deposit.2,containsRequire,require:spank_chain_payment.deposit.2.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.deposit,containsStmt,stmt:spank_chain_payment.deposit.3,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.deposit.2,hasNext,stmt:spank_chain_payment.deposit.3,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.deposit.3,containsAssignment,assign:spank_chain_payment.deposit.3.1,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.deposit.3,containsAssignment,assign:spank_chain_payment.deposit.3.2,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.deposit.3,containsRequire,require:spank_chain_payment.deposit.3.1,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.deposit.3,containsCall,call:spank_chain_payment.deposit.3.1,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.deposit.3,containsRequire,require:spank_chain_payment.deposit.3.2,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.deposit,containsStmt,stmt:spank_chain_payment.deposit.4,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.deposit.3,hasNext,stmt:spank_chain_payment.deposit.4,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.deposit.4,containsAssignment,assign:spank_chain_payment.deposit.4.1,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.deposit.4,containsAssignment,assign:spank_chain_payment.deposit.4.2,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.deposit.4,containsRequire,require:spank_chain_payment.deposit.4.1,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.deposit.4,containsCall,call:spank_chain_payment.deposit.4.1,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.deposit.4,containsRequire,require:spank_chain_payment.deposit.4.2,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.deposit,containsStmt,stmt:spank_chain_payment.deposit.5,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.deposit.4,hasNext,stmt:spank_chain_payment.deposit.5,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.deposit.5,containsCall,call:spank_chain_payment.deposit.5.1,"{""_layers"": [""stage1_ast""]}"
contract:spank_chain_payment,hasFunction,function:spank_chain_payment.consensusCloseChannel,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.consensusCloseChannel,hasModifier,modifier:spank_chain_payment.consensusCloseChannel.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.consensusCloseChannel,containsStmt,stmt:spank_chain_payment.consensusCloseChannel.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.consensusCloseChannel,entryPointIs,stmt:spank_chain_payment.consensusCloseChannel.1,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.consensusCloseChannel.1,containsRequire,require:spank_chain_payment.consensusCloseChannel.1.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.consensusCloseChannel,containsStmt,stmt:spank_chain_payment.consensusCloseChannel.2,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.consensusCloseChannel.1,hasNext,stmt:spank_chain_payment.consensusCloseChannel.2,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.consensusCloseChannel,containsStmt,stmt:spank_chain_payment.consensusCloseChannel.3,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.consensusCloseChannel.2,hasNext,stmt:spank_chain_payment.consensusCloseChannel.3,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.consensusCloseChannel,containsStmt,stmt:spank_chain_payment.consensusCloseChannel.4,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.consensusCloseChannel.3,hasNext,stmt:spank_chain_payment.consensusCloseChannel.4,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.consensusCloseChannel.4,containsRequire,require:spank_chain_payment.consensusCloseChannel.4.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.consensusCloseChannel,containsStmt,stmt:spank_chain_payment.consensusCloseChannel.5,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.consensusCloseChannel.4,hasNext,stmt:spank_chain_payment.consensusCloseChannel.5,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.consensusCloseChannel.5,containsRequire,require:spank_chain_payment.consensusCloseChannel.5.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.consensusCloseChannel,containsStmt,stmt:spank_chain_payment.consensusCloseChannel.6,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.consensusCloseChannel.5,hasNext,stmt:spank_chain_payment.consensusCloseChannel.6,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.consensusCloseChannel.6,containsCall,call:spank_chain_payment.consensusCloseChannel.6.1,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.consensusCloseChannel.6,containsCall,call:spank_chain_payment.consensusCloseChannel.6.2,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.consensusCloseChannel.6,containsCall,call:spank_chain_payment.consensusCloseChannel.6.3,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.consensusCloseChannel.6,containsCall,call:spank_chain_payment.consensusCloseChannel.6.4,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.consensusCloseChannel,containsStmt,stmt:spank_chain_payment.consensusCloseChannel.7,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.consensusCloseChannel.6,hasNext,stmt:spank_chain_payment.consensusCloseChannel.7,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.consensusCloseChannel.7,containsRequire,require:spank_chain_payment.consensusCloseChannel.7.1,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.consensusCloseChannel.7,containsCall,call:spank_chain_payment.consensusCloseChannel.7.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.consensusCloseChannel,containsStmt,stmt:spank_chain_payment.consensusCloseChannel.8,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.consensusCloseChannel.7,hasNext,stmt:spank_chain_payment.consensusCloseChannel.8,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.consensusCloseChannel.8,containsRequire,require:spank_chain_payment.consensusCloseChannel.8.1,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.consensusCloseChannel.8,containsCall,call:spank_chain_payment.consensusCloseChannel.8.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.consensusCloseChannel,containsStmt,stmt:spank_chain_payment.consensusCloseChannel.9,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.consensusCloseChannel.8,hasNext,stmt:spank_chain_payment.consensusCloseChannel.9,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.consensusCloseChannel.9,containsAssignment,assign:spank_chain_payment.consensusCloseChannel.9.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.consensusCloseChannel,containsStmt,stmt:spank_chain_payment.consensusCloseChannel.10,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.consensusCloseChannel.9,hasNext,stmt:spank_chain_payment.consensusCloseChannel.10,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.consensusCloseChannel.10,containsCall,call:spank_chain_payment.consensusCloseChannel.10.1,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.consensusCloseChannel.10,containsCall,call:spank_chain_payment.consensusCloseChannel.10.2,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.consensusCloseChannel,containsStmt,stmt:spank_chain_payment.consensusCloseChannel.11,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.consensusCloseChannel.10,hasNext,stmt:spank_chain_payment.consensusCloseChannel.11,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.consensusCloseChannel.11,containsRequire,require:spank_chain_payment.consensusCloseChannel.11.1,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.consensusCloseChannel.11,containsCall,call:spank_chain_payment.consensusCloseChannel.11.1,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.consensusCloseChannel.11,containsRequire,require:spank_chain_payment.consensusCloseChannel.11.2,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.consensusCloseChannel.11,containsCall,call:spank_chain_payment.consensusCloseChannel.11.2,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.consensusCloseChannel,containsStmt,stmt:spank_chain_payment.consensusCloseChannel.12,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.consensusCloseChannel.11,hasNext,stmt:spank_chain_payment.consensusCloseChannel.12,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.consensusCloseChannel,containsStmt,stmt:spank_chain_payment.consensusCloseChannel.13,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.consensusCloseChannel.12,hasNext,stmt:spank_chain_payment.consensusCloseChannel.13,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.consensusCloseChannel.13,containsCall,call:spank_chain_payment.consensusCloseChannel.13.1,"{""_layers"": [""stage1_ast""]}"
contract:spank_chain_payment,hasFunction,function:spank_chain_payment.updateLCstate,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.updateLCstate,hasModifier,modifier:spank_chain_payment.updateLCstate.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.updateLCstate,containsStmt,stmt:spank_chain_payment.updateLCstate.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.updateLCstate,entryPointIs,stmt:spank_chain_payment.updateLCstate.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.updateLCstate,containsStmt,stmt:spank_chain_payment.updateLCstate.2,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.updateLCstate.1,hasNext,stmt:spank_chain_payment.updateLCstate.2,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.updateLCstate.2,containsRequire,require:spank_chain_payment.updateLCstate.2.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.updateLCstate,containsStmt,stmt:spank_chain_payment.updateLCstate.3,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.updateLCstate.2,hasNext,stmt:spank_chain_payment.updateLCstate.3,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.updateLCstate.3,containsRequire,require:spank_chain_payment.updateLCstate.3.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.updateLCstate,containsStmt,stmt:spank_chain_payment.updateLCstate.4,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.updateLCstate.3,hasNext,stmt:spank_chain_payment.updateLCstate.4,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.updateLCstate.4,containsRequire,require:spank_chain_payment.updateLCstate.4.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.updateLCstate,containsStmt,stmt:spank_chain_payment.updateLCstate.5,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.updateLCstate.4,hasNext,stmt:spank_chain_payment.updateLCstate.5,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.updateLCstate.5,containsRequire,require:spank_chain_payment.updateLCstate.5.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.updateLCstate,containsStmt,stmt:spank_chain_payment.updateLCstate.6,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.updateLCstate.5,hasNext,stmt:spank_chain_payment.updateLCstate.6,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.updateLCstate.6,containsRequire,require:spank_chain_payment.updateLCstate.6.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.updateLCstate,containsStmt,stmt:spank_chain_payment.updateLCstate.7,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.updateLCstate.6,hasNext,stmt:spank_chain_payment.updateLCstate.7,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.updateLCstate.7,containsCall,call:spank_chain_payment.updateLCstate.7.1,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.updateLCstate.7,containsCall,call:spank_chain_payment.updateLCstate.7.2,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.updateLCstate,containsStmt,stmt:spank_chain_payment.updateLCstate.8,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.updateLCstate.7,hasNext,stmt:spank_chain_payment.updateLCstate.8,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.updateLCstate.8,containsRequire,require:spank_chain_payment.updateLCstate.8.1,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.updateLCstate.8,containsCall,call:spank_chain_payment.updateLCstate.8.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.updateLCstate,containsStmt,stmt:spank_chain_payment.updateLCstate.9,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.updateLCstate.8,hasNext,stmt:spank_chain_payment.updateLCstate.9,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.updateLCstate.9,containsRequire,require:spank_chain_payment.updateLCstate.9.1,"{""_layers"": [""stage1_ast""]}"
